,College Name,New_name
32459,TCMT College ,TCMT College 
32460,Teabyte B.Ed. Traning College,Teabyte B.Ed. Traning College
32461,TEACHER TRAINING COLLEGE,TEACHER TRAINING COLLEGE
32462,Teachers College,Teachers College
32463,Teacher's College,Teachers College
32464,Teachers Law College,Teachers Law College
32465,TEACHERs TRAINING COLLEGE ,TEACHERs TRAINING COLLEGE 
32466,TEAM SPECIALITY HOSPITAL,TEAM SPECIALITY HOSPITAL
32467,Tech World Computer Institute ,Tech World Computer Institute 
32468,TECHNICAL EDUCATION AND RESEARCH INSTITUTE,TECHNICAL EDUCATION AND RESEARCH INSTITUTE
32469,Technical Education College ,Technical Education College 
32470,Technical Institute of Management & Computer Education ,Technical Institute of Management  Computer Education 
32471,Techno Global - Balurghat 258 ,Techno Global  Balurghat  
32472,TECHNO INDIA,TECHNO INDIA
32473,Techno India ,Techno India 
32474,Techno India 130-ENGG ,Techno India ENGG 
32475,TECHNO INDIA 130-MCA ,TECHNO INDIA MCA 
32476,Techno India 130-WBUT ,Techno India WBUT 
32477,Techno India College of Technology 187 ,Techno India College of Technology  
32478,Techno India College of Technology 314 ,Techno India College of Technology  
32479,Techno India Institute of Technology 145 ,Techno India Institute of Technology  
32480,Techno India Kolkata 226-WBUT ,Techno India Kolkata WBUT 
32481,Techno India NJR Institute of Technology,Techno India NJR Institute of Technology
32482,Technocrat Institute of Technology,Technocrat Institute of Technology
32483,Technocrats Inst. of Management Technology,Technocrats Inst. of Management Technology
32484,Technocrats Institute of Technology,Technocrats Institute of Technology
32485,Technocrats Institute of Technology ,Technocrats Institute of Technology 
32486,Technocrats Institute of Technology & Science,Technocrats Institute of Technology  Science
32487,Technocrats Institute of Technology-MBA,Technocrats Institute of TechnologyMBA
32488,Technocrets Institute of Tech.,Technocrets Institute of Tech.
32489,Technological Institute of Textiles,Technological Institute of Textiles
32490,Technology Education & Research Institute ,Technology Education  Research Institute 
32491,Techxell School of Management & Technology,Techxell School of Management  Technology
32492,Tecnia Institute of Advanced Studies ,Tecnia Institute of Advanced Studies 
32493,Tecnia Institute of Dance,Tecnia Institute of Dance
32494,Teegala Krishna Reddy College of Pharmacy ,Teegala Krishna Reddy College of Pharmacy 
32495,Teegala Krishna Reddy Engineering College ,Teegala Krishna Reddy Engineering College 
32496,Teegala Ram Reddy College of Pharmacy ,Teegala Ram Reddy College of Pharmacy 
32497,Teerath Institute Of Science & Tech.,Teerath Institute Of Science  Tech.
32498,Teerthanker Mahaveer College of Engineering ,Teerthanker Mahaveer College of Engineering 
32499,Teerthanker Mahaveer College of Law and Legal Studies ,Teerthanker Mahaveer College of Law and Legal Studies 
32500,Teerthanker Mahaveer College of Management and Computer Applications ,Teerthanker Mahaveer College of Management and Computer Applications 
32501,Teerthanker Mahaveer College of Nursing ,Teerthanker Mahaveer College of Nursing 
32502,Teerthanker Mahaveer College of Paramedical Sciences ,Teerthanker Mahaveer College of Paramedical Sciences 
32503,Teerthanker Mahaveer College of Pharmacy ,Teerthanker Mahaveer College of Pharmacy 
32504,Teerthanker Mahaveer Dental College and Research Centre ,Teerthanker Mahaveer Dental College and Research Centre 
32505,TEERTHANKER MAHAVEER INSTITUTE OF MANAGEMENT AND TECHNOLOGY,TEERTHANKER MAHAVEER INSTITUTE OF MANAGEMENT AND TECHNOLOGY
32506,Teerthanker Mahaveer Medical College & Research Centre ,Teerthanker Mahaveer Medical College  Research Centre 
32507,Teerthanker Mahaveer of College of Architecture ,Teerthanker Mahaveer of College of Architecture 
32508,Teerthanker Mahaveer of College of Education ,Teerthanker Mahaveer of College of Education 
32509,Teerthanker Mahaveer Polytechnic ,Teerthanker Mahaveer Polytechnic 
32510,TEHMI GRANT INSTITUTE OF NURSING EDUCATION,TEHMI GRANT INSTITUTE OF NURSING EDUCATION
32511,Teja College of Pharmacy ,Teja College of Pharmacy 
32512,Tejaa Shakthi Institute of Technology for Women ,Tejaa Shakthi Institute of Technology for Women 
32513,TEJASVI COLLEGE OF EDUCATION VILL-PIPLA,TEJASVI COLLEGE OF EDUCATION VILLPIPLA
32514,TEJPAL SINGH TYAGI KUSHAL PAL SINGH TYAGI MEMORIAL DEGREE COLLEGE,TEJPAL SINGH TYAGI KUSHAL PAL SINGH TYAGI MEMORIAL DEGREE COLLEGE
32515,Teju Singh Memorial Degree College,Teju Singh Memorial Degree College
32516,Teju Singh Memorial Law College,Teju Singh Memorial Law College
32517,Tek Chand Mann College of Engineering ,Tek Chand Mann College of Engineering 
32518,Telahi Tuaram Nath College P.O.Lakhimpur ,Telahi Tuaram Nath College P.O.Lakhimpur 
32519,Templecity Institute of Technology and Engineering ,Templecity Institute of Technology and Engineering 
32520,Tenali Engineering College,Tenali Engineering College
32521,Tengakhat College P.O. Tenghat-786103 ,Tengakhat College P.O. Tenghat 
32522,TENUGHAT MAHAVIDYALAYA,TENUGHAT MAHAVIDYALAYA
